Flight Date,Flight Number,Flight Departure,Flight Arrival,Grade,Departure Date,Arrival Date,Flight Time
2012-08-15,0303,PVG,DXB,GR1,2012-08-15 23:21:00,2012-08-16 03:46:00,08:32
2012-08-20,0346,DXB,KUL,GR1,2012-08-20 03:56:00,2012-08-20 15:17:00,07:26
2012-08-21,0347,KUL,DXB,GR1,2012-08-21 19:34:00,2012-08-21 21:59:00,06:29
2012-08-28,0097,DXB,FCO,GR1,2012-08-28 10:02:00,2012-08-28 13:45:00,05:48
2012-08-29,0098,FCO,DXB,GR1,2012-08-29 15:23:00,2012-08-29 23:16:00,05:57
2012-09-02,0412,DXB,SYD,GR1,2012-09-02 10:38:00,2012-09-03 06:06:00,13:33
2012-09-04,0412,SYD,AKL,GR1,2012-09-04 07:57:00,2012-09-04 12:48:00,02:56
2012-09-07,0413,AKL,SYD,GR1,2012-09-07 17:51:00,2012-09-07 19:32:00,03:45
2012-09-08,0413,SYD,DXB,GR1,2012-09-08 21:09:00,2012-09-09 05:00:00,13:55
2012-09-12,0261,DXB,GRU,GR1,2012-09-12 08:34:00,2012-09-12 16:09:00,14:42
2012-09-14,0262,GRU,DXB,GR1,2012-09-14 03:07:00,2012-09-15 00:41:00,14:37
2012-09-19,0241,DXB,YYZ,GR1,2012-09-19 10:30:00,2012-09-19 16:41:00,14:22
2012-09-21,0242,YYZ,DXB,GR1,2012-09-21 22:04:00,2012-09-22 18:03:00,12:03
2012-09-26,0302,DXB,PVG,GR1,2012-09-26 02:55:00,2012-09-26 15:05:00,08:20
2012-09-28,0303,PVG,DXB,GR1,2012-09-28 23:24:00,2012-09-29 04:19:00,09:07
2012-10-02,0406,DXB,MEL,GR1,2012-10-02 10:42:00,2012-10-03 05:17:00,12:40
2012-10-04,0406,MEL,AKL,GR1,2012-10-04 07:49:00,2012-10-04 14:12:00,03:45
2012-10-05,0407,AKL,MEL,GR1,2012-10-05 18:49:00,2012-10-05 20:03:00,04:20
2012-10-06,0407,MEL,DXB,GR1,2012-10-06 22:52:00,2012-10-07 05:37:00,13:55
2012-10-11,0346,DXB,KUL,GR1,2012-10-11 06:59:00,2012-10-11 17:58:00,07:09
2012-10-12,0347,KUL,DXB,GR1,2012-10-12 19:24:00,2012-10-12 22:11:00,06:51
2012-10-15,0017,DXB,MAN,GR1,2012-10-15 08:04:00,2012-10-15 12:43:00,07:47
2012-10-16,0018,MAN,DXB,GR1,2012-10-16 14:24:00,2012-10-17 00:40:00,07:20
2012-10-21,0201,DXB,JFK,GR1,2012-10-21 09:01:00,2012-10-21 14:50:00,14:07
2012-10-22,0202,JFK,DXB,GR1,2012-10-22 23:08:00,2012-10-23 19:54:00,12:53
2012-11-02,0097,DXB,FCO,GR1,2012-11-02 09:50:00,2012-11-02 12:59:00,06:14
2012-11-03,0098,FCO,DXB,GR1,2012-11-03 14:37:00,2012-11-03 23:04:00,05:39
2012-11-08,0530,DXB,COK,GR1,2012-11-08 03:01:00,2012-11-08 08:15:00,03:49
2012-11-08,0531,COK,DXB,GR1,2012-11-08 09:38:00,2012-11-08 11:45:00,03:42
2012-11-11,0346,DXB,KUL,GR1,2012-11-11 04:01:00,2012-11-11 14:55:00,07:01
2012-11-12,0347,KUL,DXB,GR1,2012-11-12 19:26:00,2012-11-12 22:17:00,06:56
2012-11-14,0003,DXB,LHR,GR1,2012-11-14 14:29:00,2012-11-14 18:10:00,07:53
2012-11-15,0004,LHR,DXB,GR1,2012-11-15 20:14:00,2012-11-16 06:58:00,06:48
2012-11-19,0803,DXB,JED,GR1,2012-11-19 16:15:00,2012-11-19 18:13:00,03:03
2012-11-19,0804,JED,DXB,GR1,2012-11-19 20:24:00,2012-11-20 00:17:00,02:59
2012-11-21,0318,DXB,NRT,GR1,2012-11-21 03:01:00,2012-11-21 17:04:00,09:19
